Year,Month,Day,Sunspots_Mean
1763,4,27,54.8
1763,5,27,54.5
1763,6,27,59.7
1763,7,27,90.3
1763,8,27,44.2
1763,9,27,113.5
1763,10,27,77.2
1763,11,27,101.5
1763,12,28,102.3
1764,1,27,99.5
1764,2,26,99.5
1764,3,27,67
1764,4,27,57.3
1764,5,27,73.8
1764,6,27,50
1764,7,27,50
1764,8,27,50
1764,9,27,47
1764,10,27,46.7
1764,11,26,43.3
1764,12,27,42.8
1765,1,27,40
1765,2,25,43.3
1765,3,27,41.7
1765,4,26,36.7
1765,5,27,33.7
1765,6,26,33.3
1765,7,27,45
1765,8,27,49.5
1765,9,26,26.7
1765,10,27,23.3
1765,11,26,23.3
1765,12,27,21.7
1766,1,27,20
1766,2,25,18.3
1766,3,27,61
1766,4,27,10
1766,5,27,44.7
1766,6,27,5
1766,7,27,5.5
1766,8,27,6.7
1766,9,27,7.2
1766,10,27,8.3
1766,11,27,9.5
1766,12,27,32
1767,1,27,45.7
1767,2,26,50
1767,3,27,71.7
1767,4,27,54.8
1767,5,27,49.7
1767,6,27,55.5
1767,7,27,36.5
1767,8,27,68
1767,9,27,71.2
1767,10,27,73.5
1767,11,27,91.2
1767,12,28,88.8
1768,1,27,89.2
1768,2,26,110.2
1768,3,27,77.2
1768,4,27,71.2
1768,5,27,129.5
1768,6,27,129
1768,7,27,87.7
1768,8,27,111.3
1768,9,27,124.7
1768,10,27,129.7
1768,11,26,151
1768,12,27,186.3
1769,1,27,123.2
1769,2,25,107
1769,3,27,107.2
1769,4,26,161.2
1769,5,27,122.7
1769,6,26,157.3
1769,7,27,197.7
1769,8,27,200.5
1769,9,26,248
1769,10,27,263.7
1769,11,26,246.8
1769,12,27,186.7
1770,1,27,173.3
1770,2,25,237.5
1770,3,27,133.5
1770,4,27,85
1770,5,27,116.8
1770,6,27,138.8
1770,7,27,183
1770,8,27,210.5
1770,9,27,174
1770,10,27,172.7
1770,11,27,220.3
1770,12,27,170.5
1771,1,27,60
1771,2,26,77
1771,3,27,77.8
1771,4,27,108.2
1771,5,27,254.5
1771,6,27,199.2
1771,7,27,112.8
1771,8,27,97.5
1771,9,27,169
1771,10,27,150
1771,11,27,166.2
1771,12,28,159.5
1772,1,27,168.2
1772,2,26,151.3
1772,3,27,51.8
1772,4,27,153.7
1772,5,27,63.3
1772,6,27,95
1772,7,27,128.8
1772,8,27,93.7
1772,9,27,84.2
1772,10,27,131
1772,11,26,102.2
1772,12,27,106.7
1773,1,27,91
1773,2,25,48.3
1773,3,27,85.3
1773,4,26,54.8
1773,5,27,68.5
1773,6,26,47.3
1773,7,27,46.2
1773,8,27,21.2
1773,9,26,48.8
1773,10,27,43.8
1773,11,26,68.2
1773,12,27,72
1774,1,27,78
1774,2,25,109
1774,3,27,92.8
1774,4,27,73
1774,5,27,85.5
1774,6,27,47.5
1774,7,27,29.2
1774,8,27,11
1774,9,27,13.2
1774,10,27,23.3
1774,11,27,29.5
1774,12,27,20.3
1775,1,27,7.3
1775,2,26,0
1775,3,27,19.3
1775,4,27,18.7
1775,5,27,6.5
1775,6,27,20.5
1775,7,27,1.7
1775,8,27,13.2
1775,9,27,5.3
1775,10,27,9.3
1775,11,27,25.2
1775,12,28,13.2
1776,1,27,36.2
1776,2,26,19.3
1776,3,27,10.5
1776,4,27,36.3
1776,5,27,18.7
1776,6,27,31.7
1776,7,27,1.7
1776,8,27,40.3
1776,9,27,26.7
1776,10,27,50
1776,11,26,58.3
1776,12,27,66.7
1777,1,27,75
1777,2,25,60.8
1777,3,27,65
1777,4,26,159.2
1777,5,27,133.8
1777,6,26,134.5
1777,7,27,158.3
1777,8,27,186.7
1777,9,26,193.7
1777,10,27,177.5
1777,11,26,243.3
1777,12,27,262.2
1778,1,27,295.5
1778,2,25,182.2
1778,3,27,223.3
1778,4,27,241.7
1778,5,27,398.2
1778,6,27,286
1778,7,27,255
1778,8,27,233.3
1778,9,27,286.2
1778,10,27,260.5
1778,11,27,250.5
1778,12,27,175
1779,1,27,191.2
1779,2,26,276.2
1779,3,27,196.7
1779,4,27,241.7
1779,5,27,233.3
1779,6,27,189.5
1779,7,27,238.3
1779,8,27,186.7
1779,9,27,185
1779,10,27,206.7
1779,11,27,190
1779,12,28,183.3
1780,1,27,116.7
1780,2,26,163.3
1780,3,27,163.3
1780,4,27,158.3
1780,5,27,178.7
1780,6,27,146.7
1780,7,27,143.3
1780,8,27,143.3
1780,9,27,156.2
1780,10,27,128.3
1780,11,26,100
1780,12,27,97.8
1781,1,27,164.5
1781,2,25,124.5
1781,3,27,88.3
1781,4,26,113.8
1781,5,27,174.5
1781,6,26,162.8
1781,7,27,122.5
1781,8,27,110
1781,9,26,85
1781,10,27,45.5
1781,11,26,111.7
1781,12,27,58.7
1782,1,27,90
1782,2,25,62.5
1782,3,27,61.7
1782,4,27,68.3
1782,5,27,90.5
1782,6,27,63.3
1782,7,27,61.7
1782,8,27,73.3
1782,9,27,56.7
1782,10,27,38.7
1782,11,27,52.5
1782,12,27,50
1783,1,27,46.7
1783,2,26,64.5
1783,3,27,44.5
1783,4,27,47.2
1783,5,27,38.3
1783,6,27,42
1783,7,27,53.7
1783,8,27,33.3
1783,9,27,30
1783,10,27,13.3
1783,11,27,25
1783,12,28,17.5
1784,1,27,21.7
1784,2,26,13.3
1784,3,27,18.3
1784,4,27,16.7
1784,5,27,10
1784,6,27,15
1784,7,27,10
1784,8,27,16.7
1784,9,27,16.7
1784,10,27,13.3
1784,11,26,28.3
1784,12,27,23.3
1785,1,27,10.8
1785,2,25,13.3
1785,3,27,15
1785,4,26,26.2
1785,5,27,34.5
1785,6,26,43.8
1785,7,27,60.5
1785,8,27,33.3
1785,9,26,53.3
1785,10,27,78.7
1785,11,26,67
1785,12,27,45.5
1786,1,27,62
1786,2,25,79.3
1786,3,27,79.5
1786,4,27,142.3
1786,5,27,153.8
1786,6,27,98.3
1786,7,27,138.3
1786,8,27,149.5
1786,9,27,185.8
1786,10,27,187.2
1786,11,27,193.3
1786,12,27,187.8
1787,1,27,224.5
1787,2,26,176.7
1787,3,27,145.7
1787,4,27,212
1787,5,27,224.7
1787,6,27,165.3
1787,7,27,213.3
1787,8,27,228.7
1787,9,27,262.2
1787,10,27,261.7
1787,11,27,235.8
1787,12,28,290
1788,1,27,230
1788,2,26,215.3
1788,3,27,238.8
1788,4,27,180.8
1788,5,27,188.3
1788,6,27,257
1788,7,27,235.8
1788,8,27,226.7
1788,9,27,235
1788,10,27,236.7
1788,11,26,157.8
1788,12,27,215.8
1789,1,27,190
1789,2,25,208.8
1789,3,27,200
1789,4,26,205.5
1789,5,27,205.8
1789,6,26,200
1789,7,27,195
1789,8,27,171.7
1789,9,26,186.7
1789,10,27,149.5
1789,11,26,223.3
1789,12,27,225.8
1790,1,27,171.7
1790,2,25,212.5
1790,3,27,160.5
1790,4,27,156.7
1790,5,27,155
1790,6,27,151.7
1790,7,27,115.5
1790,8,27,145
1790,9,27,128.8
1790,10,27,140.5
1790,11,27,136.7
1790,12,27,123.3
1791,1,27,121.2
1791,2,26,103.3
1791,3,27,123.3
1791,4,27,128.7
1791,5,27,122.8
1791,6,27,107
1791,7,27,118.3
1791,8,27,71.7
1791,9,27,110.8
1791,10,27,102.8
1791,11,27,111.7
1791,12,28,110
1792,1,27,96.7
1792,2,26,106.7
1792,3,27,105
1792,4,27,126.2
1792,5,27,103.3
1792,6,27,101.7
1792,7,27,76.3
1792,8,27,100
1792,9,27,98.3
1792,10,27,98.3
1792,11,26,95
1792,12,27,93.3
1793,1,27,93.3
1793,2,25,91.7
1793,3,27,92.5
1793,4,26,88.3
1793,5,27,87.2
1793,6,26,85
1793,7,27,83.3
1793,8,27,48.8
1793,9,26,40
1793,10,27,78.3
1793,11,26,73.3
1793,12,27,76.2
1794,1,27,75
1794,2,25,73.3
1794,3,27,63.3
1794,4,27,47.3
1794,5,27,92.8
1794,6,27,69.2
1794,7,27,68.3
1794,8,27,66.7
1794,9,27,18.5
1794,10,27,47.5
1794,11,27,112.3
1794,12,27,85.7
1795,1,27,35.7
1795,2,26,66.5
1795,3,27,21
1795,4,27,31
1795,5,27,51.7
1795,6,27,28.5
1795,7,27,21.5
1795,8,27,42.8
1795,9,27,22.5
1795,10,27,32.5
1795,11,27,41.7
1795,12,28,30
1796,1,27,36.7
1796,2,26,39.7
1796,3,27,26.2
1796,4,27,52.8
1796,5,27,35
1796,6,27,11.2
1796,7,27,44.8
1796,8,27,2.5
1796,9,27,30.7
1796,10,27,18.3
1796,11,26,14
1796,12,27,8.5
1797,1,27,24
1797,2,25,7
1797,3,27,6.7
1797,4,26,6.7
1797,5,27,12.2
1797,6,26,18.5
1797,7,27,7.2
1797,8,27,10
1797,9,26,9.5
1797,10,27,11.5
1797,11,26,9.7
1797,12,27,5
1798,1,27,3.3
1798,2,25,6.7
1798,3,27,20.7
1798,4,27,1.8
1798,5,27,0
1798,6,27,0
1798,7,27,0
1798,8,27,5
1798,9,27,4
1798,10,27,2.5
1798,11,27,20.8
1798,12,27,16.5
1799,1,27,2.7
1799,2,26,21
1799,3,27,36.2
1799,4,27,14
1799,5,27,13.7
1799,6,27,17.7
1799,7,27,3.5
1799,8,27,0
1799,9,27,0
1799,10,27,7.7
1799,11,27,4.5
1799,12,28,14.3
1800,1,27,11.5
1800,2,26,15.5
1800,3,28,23.2
1800,4,27,0
1800,5,28,8.3
1800,6,27,39.5
1800,7,28,35
1800,8,28,32.5
1800,9,27,19.2
1800,10,28,20.5
1800,11,27,17.5
1800,12,28,66.8
1801,1,28,45
1801,2,26,48.3
1801,3,28,50
1801,4,27,51.7
1801,5,28,53.3
1801,6,27,52
1801,7,28,58.3
1801,8,28,64.5
1801,9,27,55.8
1801,10,28,54.3
1801,11,27,66.3
1801,12,28,80.3
1802,1,28,79.7
1802,2,26,78.3
1802,3,28,68
1802,4,28,70
1802,5,28,73.3
1802,6,28,76.7
1802,7,28,80
1802,8,28,83.3
1802,9,28,86.3
1802,10,28,64.2
1802,11,28,57.5
1802,12,28,83.3
1803,1,28,83.3
1803,2,27,84.7
1803,3,28,49.2
1803,4,28,41.7
1803,5,28,73.8
1803,6,28,60
1803,7,28,80.5
1803,8,28,56.8
1803,9,28,75.5
1803,10,28,90.5
1803,11,28,85
1803,12,29,80
1804,1,28,75.5
1804,2,27,80.5
1804,3,28,80
1804,4,28,84.3
1804,5,28,55.7
1804,6,28,58
1804,7,28,49.7
1804,8,28,71.8
1804,9,28,88.3
1804,10,28,103.8
1804,11,27,101.7
1804,12,28,100
1805,1,28,101.7
1805,2,26,73.5
1805,3,28,85.7
1805,4,27,62.5
1805,5,28,65
1805,6,27,67.5
1805,7,28,62.7
1805,8,28,71.2
1805,9,27,74
1805,10,28,49
1805,11,27,68.3
1805,12,28,63.8
1806,1,28,65
1806,2,26,49.3
1806,3,28,54.5
1806,4,28,46.2
1806,5,28,44
1806,6,28,42.7
1806,7,28,50
1806,8,28,43.8
1806,9,28,40
1806,10,28,45
1806,11,28,41.7
1806,12,28,40
1807,1,28,20
1807,2,27,20.3
1807,3,28,16
1807,4,28,39.7
1807,5,28,16.7
1807,6,28,20
1807,7,28,21.2
1807,8,28,20
1807,9,28,9.5
1807,10,28,13.3
1807,11,28,4.3
1807,12,29,0
1808,1,28,0
1808,2,27,7.5
1808,3,28,0
1808,4,28,20.5
1808,5,28,22.5
1808,6,28,22.5
1808,7,28,11.2
1808,8,28,13.3
1808,9,28,19.5
1808,10,28,7.8
1808,11,27,17.5
1808,12,28,20.5
1809,1,28,12
1809,2,26,15.3
1809,3,28,1.5
1809,4,27,4.2
1809,5,28,3.3
1809,6,27,12.8
1809,7,28,0.5
1809,8,28,0.3
1809,9,27,0.7
1809,10,28,0
1809,11,27,0
1809,12,28,0
1810,1,28,0
1810,2,26,0
1810,3,28,0
1810,4,28,0
1810,5,28,0
1810,6,28,0
1810,7,28,0
1810,8,28,0
1810,9,28,0
1810,10,28,0
1810,11,28,0
1810,12,28,0
1811,1,28,0
1811,2,27,0
1811,3,28,0
1811,4,28,0
1811,5,28,0
1811,6,28,0
1811,7,28,11
1811,8,28,0
1811,9,28,4
1811,10,28,10.2
1811,11,28,1.3
1811,12,29,1.8
1812,1,28,18.8
1812,2,27,3.2
1812,3,28,1.2
1812,4,28,0
1812,5,28,1.7
1812,6,28,2.2
1812,7,28,0.8
1812,8,28,26
1812,9,28,8.7
1812,10,28,6.5
1812,11,27,13.2
1812,12,28,16.8
1813,1,28,0
1813,2,26,17.2
1813,3,28,3.2
1813,4,27,27.7
1813,5,28,9.2
1813,6,27,18.7
1813,7,28,30.5
1813,8,28,14
1813,9,27,25.5
1813,10,28,46.3
1813,11,27,27.8
1813,12,28,23.8
1814,1,28,37
1814,2,26,20
1814,3,28,9.5
1814,4,28,39.7
1814,5,28,9.7
1814,6,28,24.8
1814,7,28,30.8
1814,8,28,3.8
1814,9,28,13.5
1814,10,28,32.2
1814,11,28,24.2
1814,12,28,33.5
1815,1,28,32
1815,2,27,53.7
1815,3,28,43.7
1815,4,28,52.7
1815,5,28,16.3
1815,6,28,93.2
1815,7,28,59.2
1815,8,28,78.7
1815,9,28,52.5
1815,10,28,55.8
1815,11,28,62
1815,12,29,108.3
1816,1,28,43.8
1816,2,27,114.7
1816,3,28,122.8
1816,4,28,98
1816,5,28,73.8
1816,6,28,72.7
1816,7,28,64.7
1816,8,28,38.7
1816,9,28,79.7
1816,10,28,94
1816,11,27,63.5
1816,12,28,49.8
1817,1,28,60.7
1817,2,26,96.5
1817,3,28,160.3
1817,4,27,44
1817,5,28,35.3
1817,6,27,66.7
1817,7,28,83.3
1817,8,28,75
1817,9,27,61.2
1817,10,28,42.7
1817,11,27,48.2
1817,12,28,47.3
1818,1,28,58.1
1818,2,26,37.4
1818,3,28,42.4
1818,4,28,57.5
1818,5,28,88.5
1818,6,28,60.8
1818,7,28,46.8
1818,8,28,52.6
1818,9,28,43.4
1818,10,28,52.8
1818,11,28,18.3
1818,12,28,43
1819,1,28,54.7
1819,2,27,34.6
1819,3,28,6.3
1819,4,28,33.7
1819,5,28,32.6
1819,6,28,58.3
1819,7,28,52.5
1819,8,28,43.5
1819,9,28,24.8
1819,10,28,45.9
1819,11,28,41.8
1819,12,29,50.9
1820,1,28,32
1820,2,27,44.4
1820,3,28,7.5
1820,4,28,32.3
1820,5,28,48.9
1820,6,28,17.9
1820,7,28,34.1
1820,8,28,43.1
1820,9,28,8.6
1820,10,28,14.9
1820,11,27,13.2
1820,12,28,15.1
1821,1,28,36
1821,2,26,7
1821,3,28,9.5
1821,4,27,15.2
1821,5,28,2.8
1821,6,27,3
1821,7,28,4.3
1821,8,28,8
1821,9,27,7.3
1821,10,28,31.4
1821,11,27,7.3
1821,12,28,0.4
1822,1,28,0
1822,2,26,1.5
1822,3,28,26.9
1822,4,28,21.7
1822,5,28,2.4
1822,6,28,9.3
1822,7,28,13.2
1822,8,28,3.4
1822,9,28,0
1822,10,28,0.6
1822,11,28,0
1822,12,28,0
1823,1,28,0
1823,2,27,0
1823,3,28,1
1823,4,28,0
1823,5,28,0
1823,6,28,0
1823,7,28,0.8
1823,8,28,0
1823,9,28,0
1823,10,28,0
1823,11,28,0
1823,12,29,34
1824,1,28,36
1824,2,27,18
1824,3,28,0
1824,4,28,32.3
1824,5,28,4.6
1824,6,28,0
1824,7,28,0
1824,8,28,2.3
1824,9,28,34.3
1824,10,28,42
1824,11,27,0
1824,12,28,1.4
1825,1,28,8.4
1825,2,26,25.9
1825,3,28,37.4
1825,4,27,6.2
1825,5,28,25.8
1825,6,27,25.6
1825,7,28,51.5
1825,8,28,42.8
1825,9,27,26.2
1825,10,28,26
1825,11,27,19.6
1825,12,28,36.7
1826,1,28,29.4
1826,2,26,30.2
1826,3,28,61.3
1826,4,28,40
1826,5,28,53.9
1826,6,28,61.7
1826,7,28,87.5
1826,8,28,66
1826,9,28,31.6
1826,10,28,84.4
1826,11,28,65.8
1826,12,28,113.6
1827,1,28,57.7
1827,2,27,79
1827,3,28,96.3
1827,4,28,76.7
1827,5,28,93.8
1827,6,28,94.4
1827,7,28,70.4
1827,8,28,89.4
1827,9,28,82.6
1827,10,28,93.5
1827,11,28,80.4
1827,12,29,76.8
1828,1,28,88
1828,2,27,107.3
1828,3,28,108.5
1828,4,28,101.9
1828,5,28,148.6
1828,6,28,163.4
1828,7,28,90.4
1828,8,28,127.3
1828,9,28,83.9
1828,10,28,91.1
1828,11,27,95
1828,12,28,78.1
1829,1,28,71.6
1829,2,26,82.3
1829,3,28,120.6
1829,4,27,158.4
1829,5,28,112.3
1829,6,27,123.2
1829,7,28,151.5
1829,8,28,129.3
1829,9,27,88
1829,10,28,95.3
1829,11,27,112.7
1829,12,28,94.1
1830,1,28,87
1830,2,26,120.1
1830,3,28,141
1830,4,28,177.3
1830,5,28,110.5
1830,6,28,108.4
1830,7,28,73.2
1830,8,28,84.6
1830,9,28,103.4
1830,10,28,140.6
1830,11,28,135.4
1830,12,28,136.8
1831,1,28,79
1831,2,27,83.6
1831,3,28,155.8
1831,4,28,90.9
1831,5,28,63.4
1831,6,28,55.6
1831,7,28,75.4
1831,8,28,91.6
1831,9,28,63.2
1831,10,28,77.1
1831,11,28,72.5
1831,12,29,48.3
1832,1,28,51.5
1832,2,27,92.6
1832,3,28,91.9
1832,4,28,44.8
1832,5,28,68.9
1832,6,28,44.5
1832,7,28,23.3
1832,8,28,14.8
1832,9,28,13.7
1832,10,28,35.2
1832,11,27,23.8
1832,12,28,45.8
1833,1,28,18.7
1833,2,26,24.9
1833,3,28,19.6
1833,4,27,4.6
1833,5,28,21.5
1833,6,27,1.7
1833,7,28,11.6
1833,8,28,9.5
1833,9,27,19.3
1833,10,28,12.5
1833,11,27,9.8
1833,12,28,16.6
1834,1,28,8.2
1834,2,26,30.1
1834,3,28,6.5
1834,4,28,2.4
1834,5,28,14.8
1834,6,28,13.1
1834,7,28,14.4
1834,8,28,6.6
1834,9,28,19.2
1834,10,28,41.3
1834,11,28,50.9
1834,12,28,57.5
1835,1,28,12.4
1835,2,27,40.7
1835,3,28,32.7
1835,4,28,102.4
1835,5,28,72.6
1835,6,28,55.2
1835,7,28,99.6
1835,8,28,98.5
1835,9,28,168
1835,10,28,158.6
1835,11,28,166.7
1835,12,29,129.3
1836,1,28,147.6
1836,2,27,179.4
1836,3,28,163.7
1836,4,28,238
1836,5,28,185.7
1836,6,28,207.9
1836,7,28,194.6
1836,8,28,179.6
1836,9,28,158.5
1836,10,28,228.9
1836,11,27,201.5
1836,12,28,343.8
1837,1,28,313.4
1837,2,26,292.6
1837,3,28,224.3
1837,4,27,230.3
1837,5,28,186.1
1837,6,27,263.4
1837,7,28,271.2
1837,8,28,223.5
1837,9,27,160.4
1837,10,28,206.2
1837,11,27,178.4
1837,12,28,216.1
1838,1,28,241.5
1838,2,26,141.3
1838,3,28,234.5
1838,4,28,211.1
1838,5,28,229.4
1838,6,28,157.6
1838,7,28,180.4
1838,8,28,131.3
1838,9,28,122.7
1838,10,28,151.5
1838,11,28,129.2
1838,12,28,132.9
1839,1,28,175.9
1839,2,27,170.8
1839,3,28,129.5
1839,4,28,102.9
1839,5,28,89.6
1839,6,28,91.2
1839,7,28,141.3
1839,8,28,218.8
1839,9,28,221.1
1839,10,28,151.5
1839,11,28,114.7
1839,12,29,106.2
1840,1,28,135.4
1840,2,27,146.1
1840,3,28,112.9
1840,4,28,109.8
1840,5,28,115.4
1840,6,28,80.9
1840,7,28,101
1840,8,28,96.4
1840,9,28,123.3
1840,10,28,91.7
1840,11,27,90.4
1840,12,28,89.5
1841,1,28,40.1
1841,2,26,49.9
1841,3,28,49.6
1841,4,27,66.9
1841,5,28,112.4
1841,6,27,92.8
1841,7,28,51.4
1841,8,28,65.4
1841,9,27,60.9
1841,10,28,47.4
1841,11,27,32.9
1841,12,28,64.8
1842,1,28,34
1842,2,26,36.8
1842,3,28,36.2
1842,4,28,44.9
1842,5,28,41.4
1842,6,28,34.2
1842,7,28,21
1842,8,28,44.4
1842,9,28,30.6
1842,10,28,63.5
1842,11,28,67.5
1842,12,28,29.3
1843,1,28,22.2
1843,2,27,5.9
1843,3,28,13.9
1843,4,28,15.8
1843,5,28,35.1
1843,6,28,17.6
1843,7,28,15.9
1843,8,28,19.6
1843,9,28,6.9
1843,10,28,8.9
1843,11,28,31.7
1843,12,29,21.2
1844,1,28,15.7
1844,2,27,24.5
1844,3,28,22.5
1844,4,28,34.6
1844,5,28,19.2
1844,6,28,6.2
1844,7,28,35.2
1844,8,28,39.7
1844,9,28,11.6
1844,10,28,35.9
1844,11,27,17.9
1844,12,28,36
1845,1,28,42.8
1845,2,26,72.8
1845,3,28,72.1
1845,4,27,95
1845,5,28,79.7
1845,6,27,51.8
1845,7,28,51
1845,8,28,53.9
1845,9,27,49.3
1845,10,28,67.8
1845,11,27,65.7
1845,12,28,99.5
1846,1,28,64.6
1846,2,26,84.9
1846,3,28,106.5
1846,4,28,115.5
1846,5,28,99.9
1846,6,28,108.4
1846,7,28,77.5
1846,8,28,91.3
1846,9,28,178.6
1846,10,28,93.4
1846,11,28,100.6
1846,12,28,109.1
1847,1,28,104.4
1847,2,27,74.9
1847,3,28,143
1847,4,28,74.6
1847,5,28,125.7
1847,6,28,142.2
1847,7,28,87.1
1847,8,28,234.3
1847,9,28,268.2
1847,10,28,300.6
1847,11,28,231.5
1847,12,29,182.6
1848,1,28,265.2
1848,2,27,186.4
1848,3,28,181.2
1848,4,28,178.6
1848,5,28,170.5
1848,6,28,214.9
1848,7,28,232
1848,8,28,220.9
1848,9,28,167.3
1848,10,28,220.6
1848,11,27,191
1848,12,28,265.8
1849,1,28,298.3
1849,2,26,250.3
1849,3,28,182.7
1849,4,27,194.7
1849,5,28,153.2
1849,6,27,154.2
1849,7,28,148.2
1849,8,28,128.6
1849,9,27,178
1849,10,28,135.7
1849,11,27,188.2
1849,12,28,184.3
1850,1,28,148.2
1850,2,26,169.8
1850,3,28,156.8
1850,4,28,83.8
1850,5,28,117
1850,6,28,133
1850,7,28,74.3
1850,8,28,117
1850,9,28,163.7
1850,10,28,134.9
1850,11,28,104.1
1850,12,28,115.9
1851,1,28,143.5
1851,2,27,200.1
1851,3,28,122.8
1851,4,28,107.3
1851,5,28,118.9
1851,6,28,120
1851,7,28,68.6
1851,8,28,109
1851,9,28,128.9
1851,10,28,118.7
1851,11,28,96.8
1851,12,29,135.5
1852,1,28,129.9
1852,2,27,126.2
1852,3,28,116.2
1852,4,28,124.3
1852,5,28,104.3
1852,6,28,89
1852,7,28,80
1852,8,28,75.3
1852,9,28,71.2
1852,10,28,127.9
1852,11,27,103.1
1852,12,28,86.1
1853,1,28,77.9
1853,2,26,81.5
1853,3,28,71.6
1853,4,27,90.4
1853,5,28,65.9
1853,6,27,76
1853,7,28,87.2
1853,8,28,95.8
1853,9,27,63.7
1853,10,28,80.5
1853,11,27,54.7
1853,12,28,44.5
1854,1,28,29.3
1854,2,26,38
1854,3,28,39.4
1854,4,28,50.3
1854,5,28,45.6
1854,6,28,40.1
1854,7,28,35.5
1854,8,28,30.1
1854,9,28,42.6
1854,10,28,24.1
1854,11,28,53.5
1854,12,28,41.1
1855,1,28,23.4
1855,2,27,21.6
1855,3,28,33
1855,4,28,8.4
1855,5,28,17.3
1855,6,28,10
1855,7,28,0.7
1855,8,28,5.9
1855,9,28,0
1855,10,28,18.3
1855,11,28,7.9
1855,12,29,5.8
1856,1,28,1
1856,2,27,9.3
1856,3,28,0.7
1856,4,28,12.4
1856,5,28,0
1856,6,28,9.8
1856,7,28,8.8
1856,8,28,11.3
1856,9,28,8.4
1856,10,28,8.5
1856,11,27,14.7
1856,12,28,13.7
1857,1,28,26
1857,2,26,14.2
1857,3,28,10
1857,4,27,21.1
1857,5,28,54.2
1857,6,27,30.5
1857,7,28,42.2
1857,8,28,32
1857,9,27,80.6
1857,10,28,77.1
1857,11,27,59.6
1857,12,28,70.7
1858,1,28,74.2
1858,2,26,66.3
1858,3,28,109.2
1858,4,28,72.8
1858,5,28,78.6
1858,6,28,84.5
1858,7,28,107.7
